Team,Scoring Margin,eFG%,SPG+BPG,Rebound Margin,Win Percentage
UIC (Horizon),0.9358893777498428,0.4973097617217525,6.7727272727272725,0.9364303178484108,0.6923076923076923
UIW (Southland),0.9474017743979721,0.5161290322580645,7.2272727272727275,0.8901808785529716,0.5714285714285714
ULM (Sun Belt),0.9319196428571429,0.4822404371584699,10.26923076923077,0.8151950718685832,0.3684210526315789
UMass Lowell (America East),0.9656652360515021,0.5120967741935484,8.869565217391305,1.0461133069828723,0.9166666666666666
UMBC (America East),1.071648690292758,0.502729754322111,6.85,1.0735294117647058,2.3333333333333335
UNC Asheville (Big South),1.0082417582417582,0.5455729166666666,11.35,0.8943850267379679,1.0
UNC Greensboro (SoCon),1.0836633663366337,0.4790174002047083,11.3,1.076076993583868,2.3333333333333335
UNCW (CAA),1.0351157222665603,0.5004945598417408,9.588235294117647,0.9057851239669421,0.7
UNI (MVC),0.9769533445756042,0.5065023956194388,9.0,1.0681003584229392,0.6666666666666666
UNLV (Mountain West),1.0290889132821075,0.515752993068683,9.185185185185185,1.112,0.8
USC Upstate (Big South),0.884929906542056,0.4917192429022082,8.782608695652174,0.8701456310679612,0.2777777777777778
UT Arlington (Sun Belt),1.0487137383689107,0.47890295358649787,13.038461538461538,0.9557956777996071,1.0
UT Martin (OVC),0.850568489442339,0.4583632447954056,9.75,0.8747178329571106,0.5
Utah St. (Mountain West),1.0332378223495702,0.530758226037196,8.84,0.9210836277974087,0.9230769230769231
Utah Valley (WAC),1.1642699115044248,0.49971131639722866,11.655172413793103,1.3393870601589104,2.2222222222222223
Utah (Pac-12),0.998165137614679,0.521669341894061,9.818181818181818,1.1977559607293127,1.0
UTEP (C-USA),1.032846715328467,0.48428770949720673,9.041666666666666,0.9740871613663133,1.0
UTRGV (WAC),1.069153069153069,0.4630584192439863,13.157894736842104,0.9815059445178336,0.9
UTSA (C-USA),1.0755508919202519,0.5081537565521258,9.384615384615385,1.0514705882352942,1.3636363636363635
Valparaiso (MVC),0.9574132492113565,0.47874365482233505,10.0,0.8914728682170543,0.5555555555555556
Vanderbilt (SEC),0.9917081260364843,0.5123587570621468,9.6,0.972318339100346,0.5625
VCU (Atlantic 10),1.1003541912632822,0.5089041095890411,14.615384615384615,0.9823982398239824,2.7142857142857144
Vermont (America East),1.1514195583596214,0.532608695652174,7.6,1.1220556745182013,2.0
Villanova (Big East),1.1244738424533975,0.5325259515570935,6.96,1.0354523227383863,2.5714285714285716
Virginia Tech (ACC),1.1269001982815599,0.5542986425339367,9.36,1.0732700135685211,2.5714285714285716
Virginia (ACC),1.0923501033769814,0.5225806451612903,8.681818181818182,1.073446327683616,2.142857142857143
VMI (SoCon),1.054823405376911,0.5543836519446276,8.36,1.0547645125958378,1.0833333333333333
Wagner (NEC),1.037117903930131,0.4908713692946058,9.9,1.1054263565891473,1.8571428571428572
Wake Forest (ACC),0.9210360075805433,0.4897708674304419,8.363636363636363,0.9586114819759679,0.375
Washington St. (Pac-12),0.8742544731610338,0.4887640449438202,9.73076923076923,0.8005923000987167,0.23809523809523808
Washington (Pac-12),1.0175727622185613,0.4788823911630929,9.703703703703704,1.0924548352816152,1.0769230769230769
Weber St. (Big Sky),1.1800501882057717,0.5788461538461539,9.695652173913043,1.0560224089635855,2.8333333333333335
West Virginia (Big 12),1.073719483006223,0.4891243725599554,10.413793103448276,1.07421875,1.9
Western Caro. (SoCon),0.9577266322217003,0.5256816740646798,7.7407407407407405,0.9819915254237288,0.6875
Western Ill. (Summit League),0.9198167239404352,0.4611151870873074,8.318181818181818,1.0448318804483188,0.4666666666666667
Western Ky. (C-USA),1.0689655172413792,0.5052019583843329,11.068965517241379,1.2050716648291069,2.625
Western Mich. (MAC),0.8769027134348114,0.49392888117953165,6.476190476190476,0.934640522875817,0.3125
Wichita St. (AAC),1.0701157249829816,0.47228549734244496,9.863636363636363,0.9608294930875576,2.6666666666666665
William & Mary (CAA),0.9009819967266776,0.4609704641350211,8.588235294117647,0.9363784665579119,0.7
Winthrop (Big South),1.1766109785202863,0.5259697567389875,9.72,1.2760814249363868,11.5
Wisconsin (Big Ten),1.0818771842236645,0.49916943521594687,9.612903225806452,0.96036866359447,1.3846153846153846
Wofford (SoCon),1.096496619545175,0.5596797671033479,8.666666666666666,1.0613026819923372,1.6666666666666667
Wright St. (Horizon),1.215698393077874,0.5435078178110129,9.541666666666666,1.2812105926860025,3.0
Wyoming (Mountain West),1.0143008474576272,0.5371012482662968,7.96,0.8879216539717084,1.2727272727272727
Xavier (Big East),1.0658073270013568,0.5214007782101168,10.952380952380953,1.03125,1.625
Youngstown St. (Horizon),1.0307692307692307,0.48444976076555024,7.666666666666667,1.054255319148936,1.25
