Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
Furman (SoCon),25,242,708,34.2,730,1499,48.7,84,3.4,205,8.2,1990,79.6,1723,68.9,10.7,16,9,64,879,35.2,825,33,2.2
Ga. Southern (Sun Belt),26,194,608,31.9,686,1536,44.7,101,3.9,210,8.1,1860,71.5,1762,67.8,3.8,13,13,50,964,37.1,894,34.4,2.7
Gardner-Webb (Big South),26,232,643,36.1,651,1465,44.4,125,4.8,153,5.9,1837,70.7,1778,68.4,2.3,11,15,42.3,895,34.4,913,35.1,-0.7
George Mason (Atlantic 10),22,160,487,32.9,578,1347,42.9,95,4.3,159,7.2,1569,71.3,1538,69.9,1.4,13,9,59.1,834,37.9,774,35.2,2.7
George Washington (Atlantic 10),17,102,315,32.4,411,928,44.3,46,2.7,107,6.3,1158,68.1,1229,72.3,-4.2,5,12,29.4,582,34.2,598,35.2,-0.9
Georgetown (Big East),26,216,592,36.5,644,1521,42.3,101,3.9,153,5.9,1857,71.4,1863,71.7,-0.2,13,13,50,1034,39.8,905,34.8,5
Georgia St. (Sun Belt),26,165,509,32.4,734,1603,45.8,64,2.5,220,8.5,2014,77.5,2027,78,-0.5,14,12,53.8,967,37.2,943,36.3,0.9
Georgia Tech (ACC),22,178,497,35.8,649,1386,46.8,97,4.4,157,7.1,1767,80.3,1599,72.7,7.6,16,6,72.7,826,37.5,814,37,0.5
Georgia (SEC),26,192,551,34.8,722,1513,47.7,90,3.5,236,9.1,1948,74.9,1821,70,4.9,17,9,65.4,787,30.3,890,34.2,-4
Gonzaga (WCC),32,240,652,37,1079,1965,54.9,90,2.8,254,7.9,2911,91,2230,69.7,21.3,31,1,96.9,1189,37.2,971,30.3,6.8
Grambling (SWAC),24,125,377,33.2,562,1313,42.8,73,3,194,8.1,1617,67.4,1649,68.7,-1.3,12,12,50,827,34.5,879,36.6,-2.2
Grand Canyon (WAC),24,163,496,32.9,676,1384,48.8,72,3,116,4.8,1812,75.5,1491,62.1,13.4,17,7,70.8,958,39.9,729,30.4,9.5
Green Bay (Horizon),25,170,511,33.3,656,1507,43.5,90,3.6,138,5.5,1790,71.6,1913,76.5,-4.9,8,17,32,819,32.8,900,36,-3.2
Hampton (Big South),25,185,557,33.2,619,1437,43.1,149,6,152,6.1,1721,68.8,1831,73.2,-4.4,11,14,44,844,33.8,992,39.7,-5.9
Hartford (America East),24,179,555,32.3,562,1305,43.1,54,2.2,166,6.9,1570,65.4,1534,63.9,1.5,15,9,62.5,799,33.3,842,35.1,-1.8
Hawaii (Big West),21,164,456,36,534,1208,44.2,32,1.5,119,5.7,1503,71.6,1452,69.1,2.4,11,10,52.4,752,35.8,674,32.1,3.7
