Team,GM,3FG,3FGA,3FG%,FGM,FGA,FG%,BLKS,BKPG,ST,STPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,W,L,WL%,REB,RPG,OPP REB,OPP RPG,REB MAR
Western Ky. (C-USA),29,185,536,34.5,733,1634,44.9,134,4.6,187,6.4,2108,72.7,1972,68,4.7,21,8,72.4,1093,37.7,907,31.3,6.4
Western Mich. (MAC),21,141,427,33,499,1153,43.3,42,2,94,4.5,1325,63.1,1511,72,-8.9,5,16,23.8,715,34,765,36.4,-2.4
Wichita St. (AAC),22,178,530,33.6,533,1317,40.5,82,3.7,135,6.1,1572,71.5,1469,66.8,4.7,16,6,72.7,834,37.9,868,39.5,-1.5
William & Mary (CAA),17,98,342,28.7,388,948,40.9,56,3.3,90,5.3,1101,64.8,1222,71.9,-7.1,7,10,41.2,574,33.8,613,36.1,-2.3
Winthrop (Big South),25,210,597,35.2,695,1521,45.7,57,2.3,186,7.4,1972,78.9,1676,67,11.8,23,2,92,1003,40.1,786,31.4,8.7
Wisconsin (Big Ten),31,269,738,36.4,767,1806,42.5,123,4,175,5.6,2167,69.9,2003,64.6,5.3,18,13,58.1,1042,33.6,1085,35,-1.4
Wofford (SoCon),24,246,692,35.5,646,1374,47,48,2,160,6.7,1784,74.3,1627,67.8,6.5,15,9,62.5,831,34.6,783,32.6,2
Wright St. (Horizon),24,179,484,37,710,1471,48.3,87,3.6,142,5.9,1967,82,1618,67.4,14.5,18,6,75,1016,42.3,793,33,9.3
Wyoming (Mountain West),25,251,704,35.7,649,1442,45,54,2.2,145,5.8,1915,76.6,1888,75.5,1.1,14,11,56,816,32.6,919,36.8,-4.1
Xavier (Big East),21,162,498,32.5,589,1285,45.8,85,4,145,6.9,1571,74.8,1474,70.2,4.6,13,8,61.9,792,37.7,768,36.6,1.1
Youngstown St. (Horizon),27,186,606,30.7,717,1672,42.9,44,1.6,163,6,2010,74.4,1950,72.2,2.2,15,12,55.6,991,36.7,940,34.8,1.9
