Rank,Team,GM,W-L,PTS,PPG,3FG,3FGA,FGM,FGA,FG%
59,UNCW (CAA),17,7-10,"1,297",76.3,128,371,442,"1,011",43.7
220,UNI (MVC),25,10-15,"1,738",69.5,186,572,647,"1,461",44.3
223,UNLV (Mountain West),27,12-15,"1,875",69.4,225,639,706,"1,587",44.5
286,USC Upstate (Big South),23,5-18,"1,515",65.9,171,507,538,"1,268",42.4
107,UT Arlington (Sun Belt),26,13-13,"1,916",73.7,235,659,677,"1,659",40.8
299,UT Martin (OVC),24,8-16,"1,571",65.5,165,495,556,"1,393",39.9
132,Utah St. (Mountain West),29,20-9,"2,105",72.6,185,557,773,"1,732",44.6
98,Utah Valley (WAC),22,11-11,"1,632",74.2,116,335,592,"1,246",47.5
146,Utah (Pac-12),25,12-13,"1,803",72.1,172,484,656,"1,398",46.9
186,UTEP (C-USA),24,12-12,"1,698",70.8,171,524,608,"1,432",42.5
138,UTRGV (WAC),19,9-10,"1,376",72.4,126,429,476,"1,164",40.9
32,UTSA (C-USA),26,15-11,"2,050",78.8,209,625,768,"1,717",44.7
306,Valparaiso (MVC),28,10-18,"1,821",65,189,635,660,"1,576",41.9
155,Vanderbilt (SEC),25,9-16,"1,794",71.8,233,667,609,"1,416",43
158,VCU (Atlantic 10),26,19-7,"1,864",71.7,168,510,659,"1,460",45.1
119,Vermont (America East),15,10-5,"1,095",73,116,337,383,828,46.3
84,Villanova (Big East),25,18-7,"1,870",74.8,229,648,655,"1,445",45.3
149,Virginia Tech (ACC),22,15-7,"1,585",72,180,508,558,"1,240",45
251,Virginia (ACC),25,18-7,"1,705",68.2,212,566,629,"1,326",47.4
22,VMI (SoCon),25,13-12,"2,001",80,270,711,706,"1,517",46.5
174,Wagner (NEC),20,13-7,"1,425",71.2,117,368,533,"1,205",44.2
280,Wake Forest (ACC),22,6-16,"1,458",66.3,195,562,501,"1,222",41
242,Washington St. (Pac-12),27,14-13,"1,853",68.6,208,610,633,"1,539",41.1
257,Washington (Pac-12),26,5-21,"1,759",67.7,197,593,641,"1,513",42.4
9,Weber St. (Big Sky),23,17-6,"1,881",81.8,193,496,656,"1,300",50.5
43,West Virginia (Big 12),29,19-10,"2,243",77.3,216,593,769,"1,793",42.9
71,Western Caro. (SoCon),27,11-16,"2,039",75.5,226,662,716,"1,577",45.4
119,Western Ill. (Summit League),22,7-15,"1,606",73,157,497,550,"1,363",40.4
127,Western Ky. (C-USA),29,21-8,"2,108",72.7,185,536,733,"1,634",44.9
327,Western Mich. (MAC),21,5-16,"1,325",63.1,141,427,499,"1,153",43.3
163,Wichita St. (AAC),22,16-6,"1,572",71.5,178,530,533,"1,317",40.5
308,William & Mary (CAA),17,7-10,"1,101",64.8,98,342,388,948,40.9
31,Winthrop (Big South),25,23-2,"1,972",78.9,210,597,695,"1,521",45.7
204,Wisconsin (Big Ten),31,18-13,"2,167",69.9,269,738,767,"1,806",42.5
94,Wofford (SoCon),24,15-9,"1,784",74.3,246,692,646,"1,374",47
7,Wright St. (Horizon),24,18-6,"1,967",82,179,484,710,"1,471",48.3
55,Wyoming (Mountain West),25,14-11,"1,915",76.6,251,704,649,"1,442",45
83,Xavier (Big East),21,13-8,"1,571",74.8,162,498,589,"1,285",45.8
90,Youngstown St. (Horizon),27,15-12,"2,010",74.4,186,606,717,"1,672",42.9
